wiki_fin-swe: 9500	 acc: --	 ppl:  8.13	 xent: 2.10	  24.43 TFLOP/s	 7096/7240 tok/s	 4722358 sents	 123184 sec	
wiki_fin-swe: 10000	 acc: --	 ppl:  7.97	 xent: 2.08	  24.42 TFLOP/s	 7093/7240 tok/s	 4971541 sents	 129687 sec	
wiki_fin-swe: 10500	 acc: --	 ppl:  7.89	 xent: 2.06	  24.50 TFLOP/s	 7106/7249 tok/s	 5214169 sents	 136446 sec	
wiki_fin-swe: 11000	 acc: --	 ppl:  7.91	 xent: 2.07	  25.42 TFLOP/s	 7383/7516 tok/s	 5456379 sents	 142938 sec	
wiki_fin-swe: 11500	 acc: --	 ppl:  7.74	 xent: 2.05	  26.30 TFLOP/s	 7629/7782 tok/s	 5703920 sents	 149369 sec	
wiki_fin-swe: 12000	 acc: --	 ppl:  7.74	 xent: 2.05	  25.60 TFLOP/s	 7429/7576 tok/s	 5951433 sents	 155871 sec	
wiki_fin-swe: 12500	 acc: --	 ppl:  7.72	 xent: 2.04	  25.21 TFLOP/s	 7318/7464 tok/s	 6195545 sents	 162315 sec	
wiki_fin-swe: 13000	 acc: --	 ppl:  7.77	 xent: 2.05	  25.46 TFLOP/s	 7386/7525 tok/s	 6439340 sents	 168988 sec	

wiki_swe-fin: 500	 acc: --	 ppl: 5992.68	 xent: 8.70	  24.24 TFLOP/s	 7204/7052 tok/s	 250315 sents	   6523 sec	
wiki_swe-fin: 1000	 acc: --	 ppl: 727.52	 xent: 6.59	  23.56 TFLOP/s	 7007/6867 tok/s	 503642 sents	  12941 sec	
wiki_swe-fin: 1500	 acc: --	 ppl: 255.07	 xent: 5.54	  24.22 TFLOP/s	 7191/7052 tok/s	 752209 sents	  19456 sec	
wiki_swe-fin: 2000	 acc: --	 ppl: 37.68	 xent: 3.63	  24.07 TFLOP/s	 7154/7008 tok/s	 1004473 sents	  25890 sec	
wiki_swe-fin: 2500	 acc: --	 ppl: 16.08	 xent: 2.78	  24.79 TFLOP/s	 7367/7223 tok/s	 1263320 sents	  32288 sec	
wiki_swe-fin: 3000	 acc: --	 ppl: 11.69	 xent: 2.46	  23.67 TFLOP/s	 7025/6898 tok/s	 1520116 sents	  39038 sec	
wiki_swe-fin: 3500	 acc: --	 ppl: 10.00	 xent: 2.30	  25.23 TFLOP/s	 7488/7349 tok/s	 1775670 sents	  45475 sec	
wiki_swe-fin: 4000	 acc: --	 ppl:  9.07	 xent: 2.21	  25.07 TFLOP/s	 7446/7301 tok/s	 2034754 sents	  51910 sec	
wiki_swe-fin: 4500	 acc: --	 ppl:  8.72	 xent: 2.17	  24.17 TFLOP/s	 7177/7048 tok/s	 2291744 sents	  58324 sec	
wiki_swe-fin: 5000	 acc: --	 ppl:  8.15	 xent: 2.10	  24.64 TFLOP/s	 7325/7180 tok/s	 2552652 sents	  64745 sec	
wiki_swe-fin: 5500	 acc: --	 ppl:  7.84	 xent: 2.06	  24.35 TFLOP/s	 7235/7095 tok/s	 2815509 sents	  71346 sec	
wiki_swe-fin: 6000	 acc: --	 ppl:  7.73	 xent: 2.04	  25.25 TFLOP/s	 7492/7358 tok/s	 3072376 sents	  77738 sec	
wiki_swe-fin: 6500	 acc: --	 ppl:  7.55	 xent: 2.02	  25.10 TFLOP/s	 7449/7311 tok/s	 3327241 sents	  84133 sec	
wiki_swe-fin: 7000	 acc: --	 ppl:  7.37	 xent: 2.00	  24.98 TFLOP/s	 7417/7268 tok/s	 3579746 sents	  90599 sec	
wiki_swe-fin: 7500	 acc: --	 ppl:  7.23	 xent: 1.98	  24.48 TFLOP/s	 7272/7128 tok/s	 3829517 sents	  97032 sec	
wiki_swe-fin: 8000	 acc: --	 ppl:  7.30	 xent: 1.99	  23.38 TFLOP/s	 6946/6816 tok/s	 4087859 sents	 103701 sec	
wiki_swe-fin: 8500	 acc: --	 ppl:  7.13	 xent: 1.96	  25.56 TFLOP/s	 7587/7442 tok/s	 4343775 sents	 110087 sec	
