sentmt_bos-eng: 50500	 acc: --	 ppl: 18.50	 xent: 2.92	   3.65 TFLOP/s	 8024/7973 tok/s	 25856040 sents	  54130 sec	
sentmt_bos-eng: 51000	 acc: --	 ppl: 18.52	 xent: 2.92	   5.04 TFLOP/s	 11094/11047 tok/s	 26112084 sents	  54626 sec	
sentmt_bos-eng: 51500	 acc: --	 ppl: 18.62	 xent: 2.92	   5.09 TFLOP/s	 11185/11134 tok/s	 26368060 sents	  55122 sec	
sentmt_bos-eng: 52000	 acc: --	 ppl: 18.36	 xent: 2.91	   5.11 TFLOP/s	 11251/11177 tok/s	 26624072 sents	  55616 sec	
sentmt_bos-eng: 52500	 acc: --	 ppl: 18.39	 xent: 2.91	   5.14 TFLOP/s	 11304/11257 tok/s	 26880072 sents	  56108 sec	
sentmt_bos-eng: 53000	 acc: --	 ppl: 18.45	 xent: 2.92	   3.59 TFLOP/s	 7900/7871 tok/s	 27136104 sents	  56806 sec	
sentmt_bos-eng: 53500	 acc: --	 ppl: 18.33	 xent: 2.91	   5.12 TFLOP/s	 11273/11201 tok/s	 27392068 sents	  57301 sec	
sentmt_bos-eng: 54000	 acc: --	 ppl: 18.47	 xent: 2.92	   5.11 TFLOP/s	 11250/11186 tok/s	 27648072 sents	  57794 sec	
sentmt_bos-eng: 54500	 acc: --	 ppl: 18.33	 xent: 2.91	   5.09 TFLOP/s	 11192/11120 tok/s	 27904072 sents	  58288 sec	
sentmt_bos-eng: 55000	 acc: --	 ppl: 18.32	 xent: 2.91	   5.08 TFLOP/s	 11175/11097 tok/s	 28160072 sents	  58784 sec	
sentmt_bos-eng: 55500	 acc: --	 ppl: 18.61	 xent: 2.92	   3.56 TFLOP/s	 7834/7791 tok/s	 28416092 sents	  59485 sec	
sentmt_bos-eng: 56000	 acc: --	 ppl: 18.41	 xent: 2.91	   5.07 TFLOP/s	 11141/11085 tok/s	 28672100 sents	  59977 sec	
sentmt_bos-eng: 56500	 acc: --	 ppl: 18.55	 xent: 2.92	   5.12 TFLOP/s	 11262/11223 tok/s	 28928080 sents	  60468 sec	
sentmt_bos-eng: 57000	 acc: --	 ppl: 18.60	 xent: 2.92	   5.06 TFLOP/s	 11135/11070 tok/s	 29184060 sents	  60960 sec	
sentmt_bos-eng: 57500	 acc: --	 ppl: 18.55	 xent: 2.92	   5.09 TFLOP/s	 11201/11160 tok/s	 29440104 sents	  61451 sec	
sentmt_bos-eng: 58000	 acc: --	 ppl: 18.44	 xent: 2.91	   3.59 TFLOP/s	 7894/7861 tok/s	 29696072 sents	  62151 sec	
sentmt_bos-eng: 58500	 acc: --	 ppl: 18.55	 xent: 2.92	   5.08 TFLOP/s	 11168/11095 tok/s	 29952072 sents	  62642 sec	
sentmt_bos-eng: 59000	 acc: --	 ppl: 18.37	 xent: 2.91	   5.15 TFLOP/s	 11335/11292 tok/s	 30208064 sents	  63134 sec	
sentmt_bos-eng: 59500	 acc: --	 ppl: 18.46	 xent: 2.92	   5.04 TFLOP/s	 11082/11018 tok/s	 30464092 sents	  63628 sec	
sentmt_bos-eng: 60000	 acc: --	 ppl: 18.52	 xent: 2.92	   5.09 TFLOP/s	 11201/11134 tok/s	 30720092 sents	  64120 sec	
sentmt_bos-eng: 60500	 acc: --	 ppl: 18.51	 xent: 2.92	   3.65 TFLOP/s	 8033/7989 tok/s	 30976080 sents	  64804 sec	
sentmt_bos-eng: 61000	 acc: --	 ppl: 18.55	 xent: 2.92	   5.11 TFLOP/s	 11239/11199 tok/s	 31232060 sents	  65296 sec	
