task_eng-bos: 13500	 acc: --	 ppl: 15.35	 xent: 2.73	  17.46 TFLOP/s	 19445/16944 tok/s	 3646677 sents	  39165 sec	
task_eng-bos: 14000	 acc: --	 ppl: 14.52	 xent: 2.68	  17.80 TFLOP/s	 19843/17274 tok/s	 3784507 sents	  40552 sec	
task_eng-bos: 14500	 acc: --	 ppl: 13.80	 xent: 2.62	  17.59 TFLOP/s	 19622/17062 tok/s	 3920453 sents	  41935 sec	
task_eng-bos: 15000	 acc: --	 ppl: 13.26	 xent: 2.58	  17.58 TFLOP/s	 19591/17057 tok/s	 4056246 sents	  43317 sec	
task_eng-bos: 15500	 acc: --	 ppl: 12.83	 xent: 2.55	  14.10 TFLOP/s	 15703/13694 tok/s	 4188557 sents	  45002 sec	
task_eng-bos: 16000	 acc: --	 ppl: 12.43	 xent: 2.52	  17.73 TFLOP/s	 19749/17203 tok/s	 4323182 sents	  46367 sec	
task_eng-bos: 16500	 acc: --	 ppl: 12.05	 xent: 2.49	  17.57 TFLOP/s	 19580/17058 tok/s	 4457798 sents	  47739 sec	
task_eng-bos: 17000	 acc: --	 ppl: 11.78	 xent: 2.47	  17.63 TFLOP/s	 19641/17108 tok/s	 4593528 sents	  49126 sec	
task_eng-bos: 17500	 acc: --	 ppl: 11.52	 xent: 2.44	  17.35 TFLOP/s	 19344/16834 tok/s	 4728257 sents	  50518 sec	
task_eng-bos: 18000	 acc: --	 ppl: 11.32	 xent: 2.43	  14.35 TFLOP/s	 15986/13928 tok/s	 4863941 sents	  52214 sec	
task_eng-bos: 18500	 acc: --	 ppl: 11.11	 xent: 2.41	  17.53 TFLOP/s	 19527/17018 tok/s	 4998283 sents	  53591 sec	
task_eng-bos: 19000	 acc: --	 ppl: 10.93	 xent: 2.39	  17.66 TFLOP/s	 19660/17156 tok/s	 5133648 sents	  54965 sec	
task_eng-bos: 19500	 acc: --	 ppl: 10.77	 xent: 2.38	  17.85 TFLOP/s	 19897/17325 tok/s	 5270796 sents	  56340 sec	
task_eng-bos: 20000	 acc: --	 ppl: 10.62	 xent: 2.36	  17.82 TFLOP/s	 19843/17310 tok/s	 5408568 sents	  57720 sec	
task_eng-bos: 20500	 acc: --	 ppl: 10.53	 xent: 2.35	  14.36 TFLOP/s	 16005/13934 tok/s	 5544482 sents	  59419 sec	
task_eng-bos: 21000	 acc: --	 ppl: 10.39	 xent: 2.34	  17.23 TFLOP/s	 19195/16728 tok/s	 5677484 sents	  60804 sec	
task_eng-bos: 21500	 acc: --	 ppl: 10.31	 xent: 2.33	  17.85 TFLOP/s	 19889/17323 tok/s	 5815000 sents	  62184 sec	
task_eng-bos: 22000	 acc: --	 ppl: 10.21	 xent: 2.32	  17.51 TFLOP/s	 19503/16995 tok/s	 5949488 sents	  63564 sec	
task_eng-bos: 22500	 acc: --	 ppl: 10.10	 xent: 2.31	  17.55 TFLOP/s	 19560/17029 tok/s	 6085033 sents	  64948 sec	
task_eng-bos: 23000	 acc: --	 ppl: 10.02	 xent: 2.30	  14.32 TFLOP/s	 15952/13904 tok/s	 6220154 sents	  66642 sec	
task_eng-bos: 23500	 acc: --	 ppl:  9.96	 xent: 2.30	  17.78 TFLOP/s	 19810/17262 tok/s	 6357451 sents	  68026 sec	
task_eng-bos: 24000	 acc: --	 ppl:  9.88	 xent: 2.29	  17.46 TFLOP/s	 19451/16945 tok/s	 6492692 sents	  69411 sec	
task_eng-bos: 24500	 acc: --	 ppl:  9.84	 xent: 2.29	  17.58 TFLOP/s	 19615/17042 tok/s	 6628470 sents	  70792 sec	
task_eng-bos: 25000	 acc: --	 ppl:  9.76	 xent: 2.28	  17.71 TFLOP/s	 19738/17190 tok/s	 6765041 sents	  72171 sec	
