sentmt_bul-eng: 25000	 acc: --	 ppl: 13.42	 xent: 2.60	  10.04 TFLOP/s	 3005/3020 tok/s	 12557715 sents	  89472 sec	
sentmt_bul-eng: 25500	 acc: --	 ppl: 13.39	 xent: 2.59	   8.24 TFLOP/s	 2468/2477 tok/s	 12808107 sents	  91543 sec	
sentmt_bul-eng: 26000	 acc: --	 ppl: 13.35	 xent: 2.59	   9.85 TFLOP/s	 2954/2962 tok/s	 13056503 sents	  93267 sec	
sentmt_bul-eng: 26500	 acc: --	 ppl: 13.54	 xent: 2.61	   9.66 TFLOP/s	 2892/2907 tok/s	 13303683 sents	  94989 sec	
sentmt_bul-eng: 27000	 acc: --	 ppl: 13.32	 xent: 2.59	   9.33 TFLOP/s	 2792/2807 tok/s	 13553548 sents	  96807 sec	
sentmt_bul-eng: 27500	 acc: --	 ppl: 13.41	 xent: 2.60	   9.70 TFLOP/s	 2910/2912 tok/s	 13799849 sents	  98531 sec	
sentmt_bul-eng: 28000	 acc: --	 ppl: 13.33	 xent: 2.59	   8.37 TFLOP/s	 2509/2518 tok/s	 14052932 sents	 100585 sec	

sentmt_eng-bul: 500	 acc: --	 ppl: 21.69	 xent: 3.08	   9.61 TFLOP/s	 2894/2876 tok/s	 252159 sents	   1766 sec	
sentmt_eng-bul: 1000	 acc: --	 ppl: 19.72	 xent: 2.98	   9.84 TFLOP/s	 2960/2951 tok/s	 502112 sents	   3499 sec	
sentmt_eng-bul: 1500	 acc: --	 ppl: 19.30	 xent: 2.96	   9.62 TFLOP/s	 2898/2882 tok/s	 750881 sents	   5236 sec	
sentmt_eng-bul: 2000	 acc: --	 ppl: 18.80	 xent: 2.93	   9.99 TFLOP/s	 3001/2999 tok/s	 1003723 sents	   6961 sec	
