mt_fin-bul: 9000	 acc: --	 ppl: 12.67	 xent: 2.54	   8.30 TFLOP/s	 18161/19713 tok/s	 2304032 sents	  24839 sec	
mt_fin-bul: 9500	 acc: --	 ppl: 12.50	 xent: 2.53	   8.36 TFLOP/s	 18322/19812 tok/s	 2432024 sents	  26149 sec	
mt_fin-bul: 10000	 acc: --	 ppl: 12.27	 xent: 2.51	   8.33 TFLOP/s	 18267/19754 tok/s	 2560010 sents	  27467 sec	
mt_fin-bul: 10500	 acc: --	 ppl: 11.98	 xent: 2.48	   6.73 TFLOP/s	 14756/15950 tok/s	 2688016 sents	  29091 sec	
mt_fin-bul: 11000	 acc: --	 ppl: 11.64	 xent: 2.45	   8.38 TFLOP/s	 18334/19905 tok/s	 2816020 sents	  30392 sec	
mt_fin-bul: 11500	 acc: --	 ppl: 11.55	 xent: 2.45	   8.41 TFLOP/s	 18426/19976 tok/s	 2944024 sents	  31689 sec	
mt_fin-bul: 12000	 acc: --	 ppl: 11.36	 xent: 2.43	   8.26 TFLOP/s	 18094/19624 tok/s	 3072020 sents	  33011 sec	
mt_fin-bul: 12500	 acc: --	 ppl: 11.24	 xent: 2.42	   8.33 TFLOP/s	 18242/19756 tok/s	 3200016 sents	  34322 sec	
mt_fin-bul: 13000	 acc: --	 ppl: 11.20	 xent: 2.42	   6.75 TFLOP/s	 14799/15979 tok/s	 3328010 sents	  35952 sec	
mt_fin-bul: 13500	 acc: --	 ppl: 11.00	 xent: 2.40	   8.33 TFLOP/s	 18261/19771 tok/s	 3456016 sents	  37268 sec	
mt_fin-bul: 14000	 acc: --	 ppl: 10.87	 xent: 2.39	   8.37 TFLOP/s	 18344/19861 tok/s	 3584000 sents	  38578 sec	
mt_fin-bul: 14500	 acc: --	 ppl: 10.70	 xent: 2.37	   8.37 TFLOP/s	 18310/19877 tok/s	 3712024 sents	  39880 sec	
mt_fin-bul: 15000	 acc: --	 ppl: 10.67	 xent: 2.37	   8.37 TFLOP/s	 18328/19851 tok/s	 3840020 sents	  41190 sec	
mt_fin-bul: 15500	 acc: --	 ppl: 10.60	 xent: 2.36	   6.73 TFLOP/s	 14742/15954 tok/s	 3968016 sents	  42819 sec	
mt_fin-bul: 16000	 acc: --	 ppl: 10.48	 xent: 2.35	   8.31 TFLOP/s	 18178/19744 tok/s	 4096010 sents	  44137 sec	
mt_fin-bul: 16500	 acc: --	 ppl: 10.40	 xent: 2.34	   8.30 TFLOP/s	 18180/19704 tok/s	 4224024 sents	  45452 sec	
mt_fin-bul: 17000	 acc: --	 ppl: 10.32	 xent: 2.33	   8.39 TFLOP/s	 18362/19904 tok/s	 4352010 sents	  46758 sec	
mt_fin-bul: 17500	 acc: --	 ppl: 10.34	 xent: 2.34	   8.39 TFLOP/s	 18420/19891 tok/s	 4480016 sents	  48064 sec	
mt_fin-bul: 18000	 acc: --	 ppl: 10.22	 xent: 2.32	   6.78 TFLOP/s	 14855/16067 tok/s	 4608030 sents	  49679 sec	
mt_fin-bul: 18500	 acc: --	 ppl: 10.18	 xent: 2.32	   8.29 TFLOP/s	 18174/19643 tok/s	 4736016 sents	  51001 sec	
mt_fin-bul: 19000	 acc: --	 ppl: 10.12	 xent: 2.31	   8.40 TFLOP/s	 18411/19910 tok/s	 4864010 sents	  52306 sec	
mt_fin-bul: 19500	 acc: --	 ppl: 10.03	 xent: 2.31	   8.41 TFLOP/s	 18437/19970 tok/s	 4992016 sents	  53603 sec	
mt_fin-bul: 20000	 acc: --	 ppl:  9.95	 xent: 2.30	   8.36 TFLOP/s	 18297/19845 tok/s	 5120000 sents	  54910 sec	

mt_cat-fin: 500	 acc: --	 ppl: 8816.37	 xent: 9.08	   8.34 TFLOP/s	 19610/18639 tok/s	 128016 sents	   1333 sec	
mt_cat-fin: 1000	 acc: --	 ppl: 1143.52	 xent: 7.04	   8.46 TFLOP/s	 20004/18792 tok/s	 256010 sents	   2653 sec	
mt_cat-fin: 1500	 acc: --	 ppl: 511.86	 xent: 6.24	   7.80 TFLOP/s	 18366/17401 tok/s	 384016 sents	   4082 sec	
mt_cat-fin: 2000	 acc: --	 ppl: 232.14	 xent: 5.45	   8.48 TFLOP/s	 19878/19004 tok/s	 512010 sents	   5396 sec	
mt_cat-fin: 2500	 acc: --	 ppl: 72.63	 xent: 4.29	   8.45 TFLOP/s	 19949/18816 tok/s	 640024 sents	   6714 sec	
mt_cat-fin: 3000	 acc: --	 ppl: 38.35	 xent: 3.65	   6.79 TFLOP/s	 15980/15169 tok/s	 768032 sents	   8352 sec	
mt_cat-fin: 3500	 acc: --	 ppl: 27.81	 xent: 3.33	   7.81 TFLOP/s	 18313/17468 tok/s	 896016 sents	   9775 sec	
mt_cat-fin: 4000	 acc: --	 ppl: 22.08	 xent: 3.09	   8.49 TFLOP/s	 19818/19082 tok/s	 1024032 sents	  11082 sec	
mt_cat-fin: 4500	 acc: --	 ppl: 19.99	 xent: 3.00	   8.52 TFLOP/s	 20038/19008 tok/s	 1152024 sents	  12391 sec	
mt_cat-fin: 5000	 acc: --	 ppl: 18.10	 xent: 2.90	   8.57 TFLOP/s	 20188/19107 tok/s	 1280020 sents	  13692 sec	
mt_cat-fin: 5500	 acc: --	 ppl: 16.54	 xent: 2.81	   6.82 TFLOP/s	 16063/15202 tok/s	 1408024 sents	  15328 sec	
mt_cat-fin: 6000	 acc: --	 ppl: 15.34	 xent: 2.73	   8.42 TFLOP/s	 19816/18813 tok/s	 1536020 sents	  16645 sec	
mt_cat-fin: 6500	 acc: --	 ppl: 14.38	 xent: 2.67	   8.49 TFLOP/s	 19918/19011 tok/s	 1664016 sents	  17953 sec	
mt_cat-fin: 7000	 acc: --	 ppl: 13.58	 xent: 2.61	   8.46 TFLOP/s	 19802/18978 tok/s	 1792010 sents	  19265 sec	
mt_cat-fin: 7500	 acc: --	 ppl: 13.35	 xent: 2.59	   8.50 TFLOP/s	 20013/18947 tok/s	 1920016 sents	  20580 sec	
mt_cat-fin: 8000	 acc: --	 ppl: 12.93	 xent: 2.56	   6.83 TFLOP/s	 16050/15245 tok/s	 2048010 sents	  22215 sec	
mt_cat-fin: 8500	 acc: --	 ppl: 12.57	 xent: 2.53	   8.50 TFLOP/s	 19960/18998 tok/s	 2176016 sents	  23525 sec	
