mt_bos-eng: 2000	 acc: --	 ppl: 72.32	 xent: 4.28	  46.56 TFLOP/s	 13623/13678 tok/s	 608600 sents	   8727 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 51.50	 xent: 3.94	  49.29 TFLOP/s	 14419/14485 tok/s	 766324 sents	  10894 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 30.14	 xent: 3.41	  42.07 TFLOP/s	 12336/12343 tok/s	 920547 sents	  13372 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 17.45	 xent: 2.86	  46.46 TFLOP/s	 13662/13597 tok/s	 1067645 sents	  15515 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 12.83	 xent: 2.55	  45.78 TFLOP/s	 13411/13439 tok/s	 1213887 sents	  17690 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 11.14	 xent: 2.41	  48.13 TFLOP/s	 14128/14102 tok/s	 1365075 sents	  19836 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 10.23	 xent: 2.33	  47.91 TFLOP/s	 14043/14055 tok/s	 1516710 sents	  21991 sec	
mt_bos-eng: 5500	 acc: --	 ppl:  9.38	 xent: 2.24	  40.63 TFLOP/s	 11928/11902 tok/s	 1668657 sents	  24534 sec	
mt_bos-eng: 6000	 acc: --	 ppl:  9.50	 xent: 2.25	  46.01 TFLOP/s	 13518/13477 tok/s	 1822832 sents	  26802 sec	
mt_bos-eng: 6500	 acc: --	 ppl:  9.25	 xent: 2.22	  48.30 TFLOP/s	 14139/14187 tok/s	 1979373 sents	  28997 sec	
mt_bos-eng: 7000	 acc: --	 ppl:  8.74	 xent: 2.17	  49.12 TFLOP/s	 14404/14408 tok/s	 2138228 sents	  31197 sec	
mt_bos-eng: 7500	 acc: --	 ppl:  8.78	 xent: 2.17	  47.88 TFLOP/s	 14063/14029 tok/s	 2292236 sents	  33375 sec	
mt_bos-eng: 8000	 acc: --	 ppl:  8.60	 xent: 2.15	  42.67 TFLOP/s	 12497/12524 tok/s	 2449327 sents	  35891 sec	
mt_bos-eng: 8500	 acc: --	 ppl:  8.34	 xent: 2.12	  46.92 TFLOP/s	 13751/13772 tok/s	 2599603 sents	  38061 sec	
mt_bos-eng: 9000	 acc: --	 ppl:  8.36	 xent: 2.12	  45.66 TFLOP/s	 13370/13409 tok/s	 2746129 sents	  40235 sec	
mt_bos-eng: 9500	 acc: --	 ppl:  8.19	 xent: 2.10	  45.49 TFLOP/s	 13374/13314 tok/s	 2893625 sents	  42445 sec	
mt_bos-eng: 10000	 acc: --	 ppl:  8.25	 xent: 2.11	  48.47 TFLOP/s	 14217/14216 tok/s	 3048996 sents	  44620 sec	
